language,repositories,percentage
Python,203,20.3
TypeScript,162,16.2
JavaScript,112,11.2
Unknown,95,9.5
Go,76,7.6
Rust,55,5.5
C++,46,4.6
Java,46,4.6
C,23,2.3
Jupyter Notebook,23,2.3
Shell,22,2.2
HTML,18,1.8
Ruby,12,1.2
C#,11,1.1
Kotlin,10,1.0
CSS,8,0.8
Vue,7,0.7
PHP,7,0.7
Swift,7,0.7
Dart,6,0.6
Markdown,5,0.5
MDX,5,0.5
Vim Script,4,0.4
Clojure,4,0.4
Dockerfile,3,0.3
Zig,3,0.3
Makefile,3,0.3
Scala,2,0.2
Assembly,2,0.2
Nunjucks,2,0.2
PowerShell,2,0.2
Lua,2,0.2
Haskell,2,0.2
Svelte,2,0.2
TeX,2,0.2
Batchfile,1,0.1
Blade,1,0.1
Roff,1,0.1
Julia,1,0.1
V,1,0.1
LLVM,1,0.1
Elixir,1,0.1
Objective-C,1,0.1
